CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARTICULO0,222,6,8,3,1,5,3,11,1,3,3
,4077,,,,,,,,,2,
ARTICULO2,222,1,,,,1,,,,,
ARTICULO3,7884,,,,,8,,,,,
ARTICULO4,838,,,,,,,,,,3
ARTICULO5,5638,44,48,44,26,8,8,16,8,8,4
ARTICULO6,5638,90,109,84,53,16,18,26,28,16,4
,9483,,,,,,,5,10,,
ARTICULO8,2628,2,,,,,,,,,
ARTICULO9,2628,2,,,,,,,,,
,7811,,6,7,,,,,,,
ARTICULO11,2628,1,,,,,,,,,
,7811,,3,,,,,,,,
ARTICULO13,2628,3,,,,,,,,,
,7811,,6,5,,,,,,,
ARTICULO15,2628,1,,,,,,,,,
,7811,,6,,,,,,,,
ARTICULO17,2628,3,,,,,,,,,
,7811,,9,8,,,,,,,
ARTICULO19,66,,,,,,,,,1,
ARTICULO20,66,,,,,,,,,1,
ARTICULO21,4485,,,,,,,,,,3
ARTICULO22,2574,2,,,,,,,,,
ARTICULO23,3292,,,1,,,,,,,
ARTICULO24,1371,,,,,1,,,,,
ARTICULO25,376,,,,,,2,,,,
ARTICULO26,4485,,,,,,,,,,6
ARTICULO27,4485,283,,,,,,,,,
ARTICULO28,2668,,,,,,,,,,1
,7791,,3,,,,,,,,
,7972,,2,,,,,,,,
ARTICULO31,2582,,,1,,,,,,,
ARTICULO32,7791,1,1,,,,,,,,
ARTICULO33,6097,,1,,,,,,,,
,7948,,1,,,,,,,,
ARTICULO35,427,,,,,,,,,1,
,3064,,,1,,,,,,,
,5430,,,1,,,,,,,
ARTICULO38,6387,,,2,,,,,,,
,6441,,,,,,,1,,,
ARTICULO40,1371,,,,2,,1,,,,
ARTICULO41,1371,,,,1,,,,,,
ARTICULO42,2913,,,,1,,,,,,
,8595,,,,,1,,,,,
ARTICULO44,452,,,1,,,,,,,
ARTICULO45,2800,,1,,,,,,,,
,3837,,1,,,,,,,,
ARTICULO47,4175,,,,,,2,,,,
,6441,,,,,1,,,,,
,8595,,,,,2,,,,,
ARTICULO50,1371,,,,1,,,,,,
ARTICULO51,452,,,1,,,,,,,
ARTICULO52,1371,,,,1,,,,,,
ARTICULO53,3825,1,,,,,,,,,
ARTICULO54,493,,,,1,,,,,,
,1884,,,,2,,,,,,
,2782,,1,,,,,,1,,
,3097,,,,,,1,,,,
,5509,,,1,,,,,,,
,5774,,,,1,,,,,,
,8511,,,,2,,,,,,
,8517,,,,1,,,,,,
,8664,,,,,,,1,,,
,8935,,,,,1,,,,,
,9390,,,,,,,1,,,
ARTICULO65,2557,,,1,,,,,,,
ARTICULO66,2739,,,,,1,,,,,
ARTICULO67,470,,1,,,,,,,,
ARTICULO68,2565,,,,,,1,1,,1,
,2800,,,,3,1,,,1,,
,6952,,,,,,,,,1,
ARTICULO71,5774,,,,,1,,1,,,
,6407,,,,,1,1,,,,
,7865,,,,,,1,,3,,
,8455,,,,1,,,,,,
,8903,,,,,1,,,,,
